fold,best_val_accuracy,test_accuracy,best_params
0,0.911961962,0.902173913,{'C': 1.1095632514279536}
1,0.927027027,0.857142857,{'C': 0.2556300980811638}
2,0.894244244,0.934065934,{'C': 0.252163269571125}
3,0.911961962,0.913043478,{'C': 1.0716081136342983}
4,0.905055055,0.923076923,{'C': 0.33962219167945523}
5,0.925125125,0.868131868,{'C': 0.23476392347945826}
6,0.908558559,0.923913043,{'C': 1.1625915036610457}
7,0.91981982,0.89010989,{'C': 0.2908507876454762}
8,0.905105105,0.923076923,{'C': 0.34119201951035255}
,0.912095429,0.903859426,
