fold,best_val_neg_log_loss,test_accuracy,test_log_loss,test_micro_auc,test_macro_auc,best_params
0,-0.9814616935551743,0.5294117647058824,0.950885554051236,0.7305363321799309,0.7341576298098037,{'C': 1.1841632917126035}
1,-0.9756336340410064,0.5,0.9753647930469997,0.7011245674740484,0.7366959127828693,{'C': 1.1713686381233905}
2,-0.9563970326420318,0.582089552238806,0.9376682964782282,0.7565159278235687,0.7262614499027542,{'C': 1.5324137588493822}
3,-0.8740479531592155,0.4264705882352941,1.1120810281254592,0.6160250865051903,0.6031584357671314,{'C': 5.087396403448555}
4,-1.032157283401905,0.5147058823529411,0.934098265932411,0.78125,0.7979255044472436,{'C': 0.6911702975045982}
5,-0.9760592003335236,0.5223880597014925,0.9578827926439212,0.7437068389396302,0.7415431488801053,{'C': 0.9022945232949454}
6,-0.9640969298307138,0.4852941176470588,0.9994169834599472,0.6873918685121109,0.7090276872885569,{'C': 1.3828605456801342}
7,-0.9670707227134713,0.5,0.9891420717059562,0.7005839100346022,0.7015945407249755,{'C': 1.0179295976601752}
8,-0.9791117024314145,0.5671641791044776,0.9005657693179964,0.7706616172867008,0.7381889547650418,{'C': 1.506097301692574}
