comb_index,datatypes,mean_best_val_neg_log_loss,mean_test_accuracy
5,gene_counts+window,-0.7571987517546609,0.6404878048780487
8,OCR+gene_counts+window,-0.760248062219747,0.6389024390243903
9,consensus_peak+gene_counts+window,-0.7771095856261204,0.6321951219512194
10,OCR+consensus_peak+gene_counts+window,-0.7778846897256918,0.6370731707317072
2,OCR+window,-0.7800824190444108,0.661951219512195
7,OCR+consensus_peak+window,-0.7997691683503851,0.646910569105691
4,consensus_peak+window,-0.8070805348192086,0.6321951219512196
0,OCR+consensus_peak,-1.0021607460452346,0.5114634146341464
6,OCR+consensus_peak+gene_counts,-1.003839976164731,0.4865853658536586
1,OCR+gene_counts,-1.027709859484576,0.446869918699187
3,consensus_peak+gene_counts,-1.028635098953489,0.4784146341463415
