fold,best_val_neg_log_loss,test_accuracy,test_micro_auc,test_macro_auc,best_params
0,-0.7172936037095579,0.5609756097560976,0.7688875669244497,0.7502443055029261,{'C': 43.769918870885334}
1,-0.7559732006607466,0.6341463414634146,0.8349196906603212,0.81996336996337,{'C': 26.026325289123054}
2,-0.7696977834361137,0.65,0.8671874999999999,0.8617326007326008,{'C': 21.926293409748656}
3,-0.7613166425389614,0.75,0.871875,0.8738758648758648,{'C': 35.67375419323185}
4,-0.7646559667347964,0.6,0.815625,0.8031772486772487,{'C': 22.165431195397762}
5,-0.7438504824709568,0.5609756097560976,0.7953599048185604,0.7906196581196582,{'C': 26.17458102835478}
6,-0.7581788299657088,0.6585365853658537,0.8185603807257584,0.8137362637362638,{'C': 25.651374426679865}
7,-0.7557484316104166,0.65,0.8231249999999999,0.8004429521096187,{'C': 45.94949253950785}
8,-0.7736252130768776,0.6,0.8321874999999999,0.7990932709266042,{'C': 16.339236019786043}
9,-0.7676464503237284,0.7,0.8775,0.8774539411206078,{'C': 19.926080691959783}
10,-0.7515067026740511,0.5853658536585366,0.793575252825699,0.7543778156709191,{'C': 36.79283334951946}
11,-0.7616006067857747,0.7073170731707317,0.8381915526472339,0.820879120879121,{'C': 22.69029620063491}
12,-0.7742002587997333,0.625,0.821875,0.7992047890381224,{'C': 17.291554268659702}
13,-0.7215129039147298,0.625,0.8090625,0.8108846153846153,{'C': 27.675454372567003}
14,-0.7811741996177586,0.7,0.893125,0.8876476054809389,{'C': 23.6483830543321}
